id,level,cell_subtype,cell_type,cluster,lineage,germ_layer,stages,n_cells,global_markers,local_markers,description,rationale
75b,cell subtype,Outflow tract,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",2074,"Mecom, Rgs5, Armh4, Unc5c, Gpc3, Mef2c, Prkg1, Dlk1, Tnni1, Runx1t1","Mecom, Rgs5, Unc5c, Isl1, Foxp2, Tshz2, Grid2, Gpc3, Armh4, Mef2c","The outflow tract is a transient embryonic cardiac structure derived from the second heart field that connects the developing ventricles to the pharyngeal arch arteries. During E9.0–E10.0, it undergoes elongation, looping, and eventual septation to form the proximal segments of the aorta and pulmonary trunk. It comprises myocardial, smooth muscle, and mesenchymal cell populations and is a major site of congenital heart defects when its development is perturbed.","The name ""Outflow tract"" is supported by the co-expression of Isl1 and Mef2c, which together define the anterior second heart field progenitor population that is the primary source of outflow tract myocardium. Mecom, the top-ranked global and local marker, is highly enriched in the outflow tract myocardium and has been shown to regulate OFT elongation and remodeling. Rgs5, a regulator of G-protein signaling expressed in vascular smooth muscle and pericytes, reflects the smooth muscle component of the maturing outflow tract, while Tnni1 marks the differentiating cardiomyocytes within this structure. The presence of Foxp2 and Tshz2 among the local markers further distinguishes these cells from other second heart field derivatives, as both transcription factors show regionalized expression in the outflow tract domain during midgestational heart development."
75c,cell subtype,Right ventricle,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",2882,"Ttn, Actc1, Myl7, Acta2, Myl4, Tnnt2, Slc8a1, Tnni1, Tagln, Tpm1","Dlk1, Nrp2, Cripto, Fhl1, Cdkn1c, Rgs5, Mecom, Amph, Myh7, Armh4","The right ventricle is a muscular chamber of the developing heart responsible for pumping blood into the pulmonary circulation. In the mouse embryo, it is primarily derived from the second heart field and becomes morphologically distinct as cardiac looping and septation progress between E8.5 and E10.0. Right ventricular cardiomyocytes undergo rapid proliferation and maturation during this window, establishing the compact and trabecular myocardial layers that will support postnatal cardiac function.","The global marker profile—including sarcomeric genes Ttn, Actc1, Myl4, Myl7, Tnnt2, and Tnni1, along with the cardiac calcium exchanger Slc8a1—confirms a differentiated cardiomyocyte identity. Among the local markers that distinguish this cluster from other second heart field derivatives, Dlk1 and Mecom (Evi1) are particularly informative, as both are well-established markers of right ventricular myocardium in the developing mouse heart. The presence of Myh7 (beta-myosin heavy chain) further supports a ventricular chamber identity, while Cdkn1c, a cell cycle inhibitor associated with compact myocardium maturation, is consistent with the expanding ventricular wall at these stages. Together, the enrichment of Dlk1, Mecom, and Myh7 relative to neighboring second heart field populations provides strong justification for the right ventricle annotation."
75d,cell subtype,Second heart field (posterior),Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.0, E8.5, E9.0, E10.0",3136,"Ryr2, Myl4, Myl7, Actc1, Sfrp5, Tnni1, Wnt2, Tnnt2, Gata6, Ccdc141","Sfrp5, Nr2f2, Fabp5, Wnt2, Dusp9, Kitl, Sfrp1, Gpc6, Trabd2b, H1f5","The posterior second heart field (pSHF) is a subdomain of cardiac mesoderm progenitors that contributes primarily to the atria, sinus venosus, and dorsal mesenchymal protrusion of the developing heart. These progenitors are distinguished from their anterior counterparts by distinct signaling environments and transcription factor expression, and they play a critical role in atrial septation and pulmonary vein development during mid-gestational cardiogenesis.","Global markers such as Myl7, Myl4, Actc1, Tnnt2, Tnni1, and Ryr2 establish a clear cardiomyocyte and cardiac progenitor identity, while Gata6 confirms involvement in heart field specification. The posterior designation is strongly supported by the local markers Nr2f2 (COUP-TFII), the canonical transcription factor that defines posterior SHF identity and drives atrial over ventricular fate, and Wnt2, which is specifically expressed in the posterior SHF domain and marks progenitors contributing to atrial and pulmonary mesenchyme. The enrichment of Sfrp5 and Sfrp1, secreted Wnt antagonists characteristic of the posterior heart field signaling environment, further distinguishes this population from the anterior SHF, which is instead defined by Fgf-driven proliferative signaling."
75e,cell subtype,Atria,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",3413,"Actc1, Myl7, Ttn, Myl4, Acta2, Tnnt2, Myh6, Slc8a1, Ryr2, Tnnc1","Angpt1, Vsnl1, Kcnq3, Nr2f2, Itga6, Myh6, Fbxo32, Trabd2b, Rgs6, Sfrp1","Atrial cardiomyocytes are the contractile muscle cells that form the atrial chambers of the developing heart. Derived from second heart field progenitors, these cells differentiate during mid-embryogenesis (E8.5–E10.0) and acquire distinct electrophysiological and contractile properties that distinguish them from ventricular cardiomyocytes. They play essential roles in receiving blood flow and coordinating cardiac rhythm in the forming four-chambered heart.","The global markers confirm a strong cardiomyocyte identity, with sarcomeric and contractile genes such as Actc1, Ttn, Tnnt2, Tnnc1, Ryr2, and Slc8a1, while the atrial-enriched myosin genes Myl7, Myl4, and Myh6 specifically point to atrial rather than ventricular fate. Among the local markers that distinguish this cluster from related second heart field populations, Nr2f2 (COUP-TFII) is a master transcription factor required for atrial specification and the suppression of ventricular gene programs. Additional local markers reinforce atrial identity: Myh6 encodes the alpha-myosin heavy chain preferentially expressed in atrial myocardium, Rgs6 is enriched in atrial conduction tissue, and the potassium channel Kcnq3 reflects the distinct ion channel repertoire of atrial cardiomyocytes."
75f,cell subtype,Inflow tract,Second heart field,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",5318,"Erbb4, Myl4, Ryr2, Slc8a1, Acta2, Myl7, Actc1, Tnni1, Zfpm2, Igfbp5","Ptn, Tenm3, Nfia, Plcb1, Mir99ahg, Unc5c, Shox2, Flrt2, Foxp2, Robo2","The inflow tract (venous pole) is the caudal segment of the embryonic heart tube that receives systemic venous return and gives rise to the sinus venosus, sinoatrial node, and atrial chambers. Derived from the posterior second heart field, these cardiomyocytes are actively differentiating during E9.0–E10.0 as the heart tube undergoes looping and chamber septation. This population is critical for establishing the cardiac pacemaker and patterning the atrial myocardium.","The global markers confirm a differentiated cardiomyocyte identity with strong expression of sarcomeric and calcium-handling genes (Actc1, Tnni1, Myl7, Ryr2, Slc8a1), while the co-expression of atrial myosin light chains Myl4 and Myl7 specifically points to an atrial/venous pole rather than ventricular identity. Among the local markers, Shox2 is the hallmark transcription factor of the cardiac inflow tract, where it maintains pacemaker cell fate in the sinus venosus and sinoatrial node by repressing the working myocardial program. Zfpm2 (FOG2) in the global markers further supports inflow tract identity, as it is required for proper atrial and venous pole morphogenesis. Additional local markers such as Ptn, Nfia, and Robo2 reflect the mesenchymal signaling and axon guidance cues characteristic of the venous pole microenvironment during cardiac innervation and remodeling."
76,cell type,Forelimb field,Forelimb field,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",44643,"Prrx1, Mecom, Twist1, Gpc5, Sema3a, Lix1, Gpc3, Asb4, Lhx9, Cped1","Asb4, Lhx9, Sema3a, Lix1, Lhx2, Hoxd9, Gpc5, Tbx5, Hoxa9, Gli3","The forelimb field comprises lateral plate mesoderm progenitors at the forelimb level that condense and proliferate to initiate the forelimb bud between E9.5 and E10.0. These cells give rise to the skeletal, connective tissue, and tendon elements of the forelimb, and are distinguished from hindlimb progenitors by a distinct transcription factor code.","Tbx5 in the local markers is the definitive forelimb identity gene — it is both necessary and sufficient for forelimb bud initiation and is not expressed in the hindlimb field. The Hox9 paralog group genes Hoxa9 and Hoxd9 further specify forelimb-level axial identity along the anterior-posterior body axis, consistent with forelimb rather than hindlimb positioning. Broad limb mesenchyme identity is supported by Prrx1 and Twist1 (global markers), while Gli3, Lhx9, and Lhx2 reflect active limb patterning through Hedgehog signaling and LIM-homeodomain transcription factor networks. Glypicans Gpc3 and Gpc5, along with the axon guidance cue Sema3a, are characteristic of the signaling-rich environment of the emerging limb bud mesenchyme."
77,cell type,Hindlimb field,Hindlimb field,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",13444,"Twist1, Prrx1, Pitx1, Tshz2, Tmem132c, Mecom, Dlk1, Cped1, Gpc6, Klf12","Pitx1, Hoxd11, Tshz2, Tbx4, Hoxa10, Pcdh7, Greb1l, Tril, Bach2, Hoxc10","The hindlimb field comprises lateral plate mesoderm progenitors that coalesce at the posterior flank of the embryo to form the hindlimb bud, emerging around E9.5 — slightly later than the forelimb field. These cells give rise to the skeletal, connective tissue, and dermal components of the hindlimb, and are specified by a unique combination of transcription factors that distinguish them from forelimb and other lateral plate mesoderm populations.","The name ""Hindlimb field"" is strongly supported by the co-expression of Pitx1 and Tbx4, the two master regulators of hindlimb identity — Pitx1 is both the top global and local marker, and its loss causes a classic hindlimb-to-forelimb transformation. The posterior Hox code further confirms hindlimb regional identity: Hoxa10 and Hoxc10 (paralog group 10) specify the lumbar/hindlimb-level axial position, while Hoxd11 contributes to distal limb patterning. General limb mesenchyme identity is reflected by Twist1 and Prrx1, which mark limb bud mesenchyme broadly, while the hindlimb-specific markers (Pitx1, Tbx4, posterior Hox genes) clearly separate this population from the forelimb field among locally similar cell types."
78,cell type,,Somatic mesoderm,,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",131446,"Dlk1, Twist1, Peg3, Prrx1, Mest, Meis2, Unc5c, Rbms3, Bnc2, Meis1","Dlk1, Sfrp1, Ccser1, Nrp2, Peg10, Crabp1, Ror1, Prrx2, Fgfr2, Postn","Somatic mesoderm is the layer of lateral plate mesoderm that lies adjacent to the surface ectoderm, forming the somatopleure. It gives rise to the body wall musculature, connective tissues, limb bud mesenchyme, and the parietal lining of the coelomic cavities. Present from E8.5 onward, this large population expands as the embryo grows and the body wall and limbs elaborate.","The global markers strongly support a somatic lateral plate identity: Twist1 is a master regulator of mesenchyme specification in the body wall and limb, while Prrx1 and Meis1/Meis2 are hallmark transcription factors of somatic lateral plate mesoderm and proximal limb patterning. Dlk1, Peg3, Mest, and the local marker Peg10 are imprinted genes characteristically enriched in mesodermal connective tissues. The local markers further refine the somatic identity relative to neighboring lateral plate derivatives — Postn (periostin) and Fgfr2 mark mesenchymal connective tissue, Sfrp1 and Crabp1 distinguish somatic from splanchnic mesoderm, and Prrx2 reinforces the body wall/limb mesenchyme signature shared with Prrx1."
78a,cell subtype,Somatic mesoderm,Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E10.0",20318,"Twist1, Dlk1, Mest, Prrx1, Peg3, Gpc3, Prrx2, Kcnh7, Lef1, Bnc2","Kcnh7, Twist1, Crabp2, Mest, Plxna4, Dlk1, Ptn, Itga9, Lix1, Gas1","Somatic mesoderm is the dorsal (parietal) layer of the lateral plate mesoderm that forms after coelom cavitation splits the lateral plate into somatic and splanchnic sheets. It underlies the surface ectoderm to form the somatopleure and gives rise to the body wall connective tissue, limb bud mesenchyme, and dermis. Present from E8.5 through E10.0, this population expands as the limb buds emerge and the body wall closes.","The top global markers Prrx1 and Prrx2 are paired-related homeobox transcription factors that define limb bud and body wall mesenchyme derived from somatic lateral plate mesoderm, while Twist1 is a master regulator of mesenchymal identity essential for body wall closure and limb development. Local markers reinforce this identity: Lix1 (Limb Expression 1) and Crabp2 (cellular retinoic acid-binding protein 2) are hallmarks of limb bud mesenchyme patterning, and Gas1, a Hedgehog pathway modulator, is characteristic of limb mesenchymal progenitors. The enrichment of imprinted growth-regulatory genes (Dlk1, Mest, Peg3) and extracellular matrix/signaling factors (Gpc3, Ptn, Itga9) is consistent with a rapidly proliferating mesenchymal population, distinguishing this somatic compartment from the splanchnic mesoderm that instead contributes to gut and cardiovascular structures."
78b,cell subtype,Somatic mesoderm (anterior),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",25588,"Ptn, Dlk1, Sema3a, Twist1, Sfrp1, Col3a1, Gpc3, Kcnq5, Meis2, Alcam","Ptn, Pbx1, Sema3a, Crabp2, Mir99ahg, Zfhx4, Gm56620, Nr2f1, Meis2, Vcan","Somatic mesoderm (anterior) is the dorsal layer of the lateral plate mesoderm positioned in the anterior (rostral) body axis of the mouse embryo. It forms the somatopleure together with overlying ectoderm and gives rise to anterior body wall connective tissue, limb bud mesenchyme, and dermis. This population expands from E8.5 onward as the lateral plate splits and the embryo undergoes anterior morphogenesis.","Broad somatic mesoderm identity is established by global markers such as Twist1, a master regulator of lateral plate and body wall mesenchyme, alongside extracellular matrix genes Col3a1 and Gpc3 and the mesenchymal growth factor Ptn. Anterior regional identity is strongly supported by the local markers Nr2f1 (COUP-TFI), a transcription factor that specifies anterior lateral plate mesoderm fate, and the TALE-class homeodomain factors Meis2 and Pbx1, which cooperatively pattern anterior and proximal mesoderm domains including the forelimb field. Additional local markers reinforce this anterior character: Sfrp1 encodes a Wnt antagonist enriched in anterior mesoderm where Wnt signaling must be attenuated relative to posterior domains, Crabp2 implicates active retinoic acid signaling characteristic of anterior trunk mesoderm, and Zfhx4 marks cranial and anterior mesenchymal populations."
78c,cell subtype,Somatic mesoderm (tailbud),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",5895,"Robo2, Prrx1, Twist1, Hoxd11, Tmem132c, Kif26b, Col23a1, Hoxa10, Ebf2, Hoxc10","Robo2, Ebf2, Hoxd11, Cadm1, Kif26b, Greb1l, 2610307P16Rik, Col23a1, Hoxc10, Sulf1","Somatic mesoderm (tailbud) is a population of lateral plate mesoderm-derived cells localized to the posterior tailbud region of the mouse embryo during mid-gestation (E9.0–E10.0). The somatic (parietal) layer of lateral plate mesoderm gives rise to body wall mesenchyme, limb bud mesenchyme, and connective tissues, and this subtype specifically represents the caudal extension of that lineage as the embryo elongates through the tailbud. These cells contribute to the mesenchymal framework of the posterior trunk and tail.","The somatic mesoderm identity is supported by robust expression of mesenchymal transcription factors Prrx1 and Twist1, both canonical markers of lateral plate-derived body wall and limb mesenchyme. The tailbud designation is strongly justified by the enrichment of posterior Hox genes from multiple paralog groups—Hoxa10, Hoxc10 (paralog group 10), and Hoxd11 (paralog group 11)—which specify lumbar, sacral, and caudal axial identity and are hallmarks of the posterior growth zone. Among local markers, Hoxd11 and Hoxc10 remain highly discriminative relative to other somatic mesoderm subtypes, confirming that posterior positional identity is the principal feature distinguishing this cluster. Additional markers such as Robo2, Kif26b, and Greb1l are consistent with actively migrating and signaling caudal mesenchyme during axial elongation."
78d,cell subtype,Somatic mesoderm (posterior),Somatic mesoderm,Intermediate and somatic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.0, E9.5, E10.0",79645,"Dlk1, Twist1, Pitx1, Peg3, Col3a1, Unc5c, Gpc6, Bnc2, Mest, Prrx1","Pitx1, Sox6, Ppp2r2b, Pmp22, Unc5c, Mpped2, Hpse2, Bnc2, Ccser1, Postn","Somatic mesoderm (posterior) is the caudal portion of the somatic (parietal) layer of the lateral plate mesoderm, which lines the body wall and contributes to the limb bud mesenchyme of the developing hindlimb. Present from E9.0 to E10.0, this population gives rise to connective tissue, skeletal elements, and dermis of the posterior trunk and hindlimb, and is distinguished from its anterior counterpart by a distinct positional identity along the anteroposterior axis.","The somatic mesoderm identity is supported by global markers characteristic of lateral plate–derived mesenchyme, including the transcription factors Twist1 and Prrx1, the extracellular matrix gene Col3a1, and the mesenchymal-associated genes Dlk1, Mest, and Gpc6. The posterior designation is strongly justified by Pitx1, which is the top local marker and a canonical transcription factor required for hindlimb specification and posterior lateral plate mesoderm identity. Additional local markers such as Postn (periostin, associated with periosteal and limb connective tissue) and Sox6 (involved in chondrogenesis) further reflect the skeletal-mesenchymal character of posterior somatic mesoderm fated toward hindlimb and caudal body wall structures. The enrichment of Pitx1 relative to the most similar cell types provides the clearest molecular distinction between this posterior population and anterior somatic mesoderm."
79,cell type,Mesothelium,Mesothelium,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",506,"Aldh1a2, Epha7, Dlk1, Gpc3, Bnc2, Rbms3, Peg3, Arg1, Dpf3, Adgrl3","Aldh1a2, Dach2, Dpf3, Adgrl3, Epha7, Upk3b, Arg1, Rbms3, Hapln1, Tmem108","Mesothelium is the specialized simple squamous epithelium derived from lateral plate mesoderm that lines the coelomic cavities (pericardial, pleural, and peritoneal). Emerging at E9.5 as the intraembryonic coelom cavitates, mesothelial cells serve as a signaling center that produces retinoic acid to pattern adjacent developing organs, and later contribute progenitors to the vasculature and connective tissue of visceral organs through epithelial-to-mesenchymal transition.","The local marker Upk3b (Uroplakin 3b) is a canonical mesothelial marker used to definitively identify serosal linings in both embryonic and adult tissues, providing strong evidence for this annotation. Aldh1a2, the top-ranked global and local marker, encodes the principal retinoic acid–synthesizing enzyme and is characteristically expressed in the mesothelium, where it generates the retinoic acid signals critical for patterning the heart, lungs, and gut. Additional markers reinforce a mesothelial identity: Gpc3 (Glypican-3) is highly expressed in coelomic epithelium, Dach2 is a transcription factor enriched in mesothelial progenitors, and Epha7 is consistent with the epithelial boundary-forming role of this tissue. The lateral plate mesoderm lineage assignment and E9.5–E10.0 staging align with the developmental window in which the coelomic mesothelium becomes a molecularly distinct cell population."
80,cell type,,Splanchnic mesoderm,,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",60650,"Foxf1, Peg3, Bnc2, Tshz2, Robo2, Runx1t1, Meis2, Meis1, Dlk1, Unc5c","Foxf1, Ptch1, Ghr, Dsp, Csrp2, Tmem158, Fendrr, Hand1, Hsd11b2, D030025E07Rik","Splanchnic mesoderm is the visceral (medial) layer of the lateral plate mesoderm that closely apposes the endoderm-derived gut tube. It gives rise to the mesenchyme of the visceral organs, including the smooth muscle and connective tissue of the gastrointestinal and respiratory tracts, the heart, and the spleen, and it plays a critical role in reciprocal signaling with the adjacent endoderm to pattern these organ primordia.","The top global and local marker Foxf1 is a canonical transcription factor of splanchnic mesoderm, where it specifies visceral mesenchyme fate and is essential for gut and lung mesenchyme development. The local marker Fendrr, a long non-coding RNA transcribed divergently from the Foxf1 locus, is specifically expressed in lateral plate and splanchnic mesoderm and is required for proper lateral mesoderm differentiation. Hand1, another local marker, encodes a bHLH transcription factor enriched in the splanchnic layer that drives cardiac and visceral mesoderm programs. Expression of Ptch1 is consistent with active Hedgehog pathway reception from the adjacent gut endoderm, a hallmark signaling interaction of splanchnic mesoderm, while Meis1 and Meis2 are TALE-class homeodomain factors broadly expressed in lateral plate mesoderm progenitors."
80a,cell subtype,Splanchnic mesoderm,Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E10.0",21839,"Foxf1, Ifitm1, Peg3, Cdx4, Csrp2, Robo2, Hoxaas3, Phlda2, Hoxc8, Hand1","Foxf1, Dsp, Tmem158, Hoxc8, Pitx1, Krt18, Hsd11b2, Hoxa9, Vim, Greb1","Splanchnic mesoderm is the inner (visceral) layer of the lateral plate mesoderm that apposes the endoderm and gives rise to the gut mesenchyme, visceral smooth muscle, mesenteries, and cardiovascular progenitors. Present from E8.5 through E10.0, this population expands as the gut tube closes and visceral organ primordia are established, contributing mesenchymal stroma to the developing heart, lungs, and gastrointestinal tract.","The designation as splanchnic mesoderm is strongly supported by Foxf1, the top global and local marker, which is a canonical transcription factor of the splanchnic mesoderm layer essential for gut and lung mesenchyme specification. Hand1, another prominent global marker, encodes a bHLH factor required for splanchnic mesoderm identity and its derivatives including cardiac and extraembryonic mesoderm. Posterior Hox genes such as Hoxc8 and Hoxa9, along with the caudal homeobox gene Cdx4, indicate trunk-level axial identity consistent with splanchnic mesoderm lining the mid- and hindgut. Additional markers including Csrp2 (associated with visceral smooth muscle differentiation), Vim (a mesenchymal intermediate filament), and Krt18 (marking mesothelial character at the coelomic surface) further support a visceral lateral plate mesoderm identity distinct from the somatic mesoderm layer."
80b,cell subtype,Splanchnic mesoderm (cardiopulmonary),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",10176,"Foxp2, Kcnq5, Foxf1, Unc5c, D030025E07Rik, Slit3, Osr1, Cdh11, Gpc3, Bnc2","Unc5c, Tbx5, Kcnq5, D030025E07Rik, Sparcl1, Slit3, Ryr2, Tafa1, Pde4d, Prrx2","Splanchnic mesoderm (cardiopulmonary) is a population of visceral lateral plate mesoderm that gives rise to the heart and the mesenchymal components of the developing lung. Appearing from E8.5 onward, these cells encompass the second heart field progenitors and the pulmonary mesoderm that surrounds the nascent lung buds, contributing to cardiomyocytes, cardiac outflow tract, and pulmonary smooth muscle and vasculature. This population bridges cardiac and respiratory mesoderm fates, which share a common origin in the anterior and posterior splanchnic mesoderm.","The cardiopulmonary identity is strongly supported by the local marker Tbx5, a transcription factor that is essential for cardiac septation and forelimb development (Holt-Oram syndrome) and also plays a key role in lung bud specification from the foregut mesoderm. The global marker Foxf1 reinforces the pulmonary component, as it is a forkhead transcription factor critical for lung mesenchyme development and splanchnic mesoderm patterning, while Ryr2 (a local marker encoding the cardiac ryanodine receptor) points specifically to cardiomyocyte differentiation. Additional markers such as Osr1 (a lateral plate mesoderm transcription factor involved in cardiac and visceral organ development), Slit3 (expressed in cardiac and diaphragmatic mesoderm), and Foxp2 (enriched in developing lung mesenchyme) collectively distinguish this population from other splanchnic mesoderm subtypes and validate the combined cardiopulmonary designation."
80c,cell subtype,Splanchnic mesoderm (gastric),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0",6254,"Barx1, Foxp2, Tshz2, Ccnd2, Foxf1, Bmpr1b, Bnc2, Dach2, Pdgfra, Gpc3","Barx1, Ccnd2, Isl1, Sorbs2, Bmpr1b, Dach2, ENSMUSG00000133633, Cadm1, Pdgfra, Pde5a","Splanchnic mesoderm (gastric) is the visceral mesenchyme enveloping the developing stomach, derived from the splanchnic layer of lateral plate mesoderm that lines the foregut endoderm. Present at E9.5–E10.0, these cells provide inductive signals that pattern the gastric epithelium and ultimately give rise to the smooth muscle, connective tissue, and submucosal layers of the stomach wall.","The gastric identity of this splanchnic mesoderm population is strongly supported by Barx1, the top-ranked global and local marker, which encodes a homeodomain transcription factor essential for stomach specification—Barx1-null mice undergo homeotic transformation of stomach epithelium to an intestinal fate. Foxf1 and Pdgfra confirm a general splanchnic mesoderm/gut mesenchyme identity, while Isl1 appearing among the local markers is consistent with foregut-level splanchnic mesoderm that includes the gastric domain. Additional markers such as Foxp2, Tshz2, and Bmpr1b reflect the signaling environment (BMP pathway) and transcriptional programs active in gut mesenchymal patterning, and Ccnd2 suggests robust proliferative expansion of this population during the E9.5–E10.0 window of stomach organogenesis."
80d,cell subtype,Splanchnic mesoderm (intestinal),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E9.5, E10.0, E8.5",15739,"Tshz2, Bnc2, Col3a1, Runx1t1, Dlk1, Col23a1, Foxf1, Peg3, Hsd11b2, Hand1","Hand1, Kif26b, Dsp, Col23a1, Nrp2, Pmp22, Mab21l2, Ccser1, Ebf1, Dlk1","Splanchnic mesoderm (intestinal) is the visceral layer of lateral plate mesoderm that ensheathes the developing midgut and hindgut endoderm, giving rise to the smooth muscle, connective tissue, and vasculature of the intestinal wall. Present from E8.5 through E10.0, this population expands as the gut tube elongates and begins regional patterning along the anterior-posterior axis. It serves as a critical signaling center that directs intestinal epithelial morphogenesis through reciprocal mesenchymal-epithelial interactions.","The splanchnic mesoderm identity is strongly supported by Foxf1, a defining transcription factor of gut-associated splanchnic mesenchyme essential for intestinal development, together with Hand1, which marks ventral splanchnic mesoderm fated toward the gut rather than the heart. The intestinal regionalization is reinforced by local markers such as Kif26b, a Wnt signaling effector critical for kidney and gut mesenchyme morphogenesis, and Ebf1, which contributes to intestinal mesenchymal patterning and smooth muscle progenitor specification. Collagen genes Col3a1 and Col23a1 reflect the mesenchymal extracellular matrix production characteristic of the developing gut wall, while Hsd11b2 and the imprinted genes Dlk1 and Peg3 are consistent with visceral mesoderm surrounding the intestinal tube. The enrichment of Hand1, Dsp, and Mab21l2 as top local markers distinguishes this population from cardiac or pharyngeal splanchnic mesoderm subtypes, pointing specifically to a gut-associated mesenchymal identity."
80e,cell subtype,Splanchnic mesoderm (septum transversum),Splanchnic mesoderm,Splanchnic mesoderm,Lateral plate mesoderm,Mesoderm,"E8.5, E9.0, E9.5, E10.0",6642,"Zfpm2, Alcam, Dlk1, Plagl1, Robo2, Asb4, Gata4, Gata6, Itm2a, Ptn","Plagl1, Tgfbr3, Robo2, Alcam, Adam12, Ghr, Dlk1, Itm2a, Zfpm2, Hmcn1","The septum transversum is a mesodermal partition that forms between the developing heart and the foregut endoderm during mid-gestation, serving as a critical signaling center for hepatic induction and contributing to the diaphragm, epicardium, and hepatic stellate cells. This splanchnic mesoderm subpopulation appears from E8.5 onward as the septum transversum condenses ventral to the heart, producing mesenchymal cells that secrete signals (including BMPs and FGFs) essential for directing foregut endoderm toward a liver fate. It also gives rise to the proepicardial organ and stellate cell precursors that later colonize the liver bud.","The co-expression of Gata4 and Gata6 with their transcriptional cofactor Zfpm2 (FOG2) is a hallmark of the septum transversum mesenchyme, where GATA4 is required for its specification and survival. Dlk1 is a well-established marker of septum transversum-derived hepatic stellate cell precursors, and its prominence among both global and local markers strongly supports this identity. The enrichment of Tgfbr3 and Ghr in the local marker set further distinguishes this population from other splanchnic mesoderm subtypes, as both are characteristic of the hepatogenic mesenchyme surrounding the liver bud. Additional markers such as Alcam, Ptn, and Hmcn1 reflect the mesenchymal and extracellular-matrix-producing character of the septum transversum stroma."
81,cell type,Anterior mesoderm,Anterior mesoderm,Early,Mesoderm,Mesoderm,"E8.0, E8.5, E9.0",2379,"Twist1, Ebf1, Colec12, Prrx2, Col23a1, Ebf2, Cdh11, Fst, Pgk1, Fzd2","Ebf1, Ebf2, Nnat, Colec12, Fst, Tbx1, Col26a1, Ank3, Ror1, Kdr","Anterior mesoderm is a mesodermal population in the developing mouse embryo that gives rise to head mesenchyme, pharyngeal arch mesoderm, and portions of the second heart field. Present from E8.0 through E9.0, these cells contribute to craniofacial connective tissues, pharyngeal arch-derived structures, and outflow tract components of the developing heart.","The name Anterior mesoderm is supported by the strong expression of Tbx1, a hallmark transcription factor of the pharyngeal mesoderm and second heart field that is essential for anterior mesodermal patterning. Twist1 and Prrx2 are paired-type and bHLH transcription factors characteristic of cranial and anterior mesenchyme, while Ebf1 and Ebf2 mark anterior mesenchymal populations including pharyngeal arch-derived mesoderm. Additional markers such as Fst (an anterior signaling antagonist of BMP/activin), Cdh11 (mesenchymal cadherin), and collagens Col23a1 and Col26a1 reflect the mesenchymal character of this population, while Kdr indicates overlap with lateral plate-derived mesodermal progenitors consistent with an anterior mesodermal identity."
